time;testset error
207894,00000000;1803,64163403
196675,00000000;1870,70976929
208690,00000000;1806,76186636
224896,00000000;1916,00268531
206112,00000000;2227,39474056
201338,00000000;1881,95799659
203564,00000000;1908,32415989
269069,00000000;1876,97351463
206482,00000000;1798,12900492
200765,00000000;1800,75633195
211561,00000000;1837,18464833
207903,00000000;1969,71161861
197357,00000000;1918,76143411
202495,00000000;1910,16066707
202626,00000000;2220,31197542
205806,00000000;1838,75631191
205486,00000000;1900,73312944
198321,00000000;1809,88377237
215433,00000000;1934,96604649
225737,00000000;1997,12795995
201528,00000000;1852,77898198
198954,00000000;1821,35642894
209547,00000000;1909,44076000
210093,00000000;1918,07365333
205788,00000000;1955,19349956
198936,00000000;6488,69569437
201754,00000000;2034,04709222
192318,00000000;1824,32360358
224165,00000000;1831,71127461
197342,00000000;1894,91616284
