Best individual;((((((x588 + ((((((8 - (9 % ((x18 % x598) + 8))) + (x132 + ((x145 * (x367 - x562)) - x112))) - x313) - (((8 + x344) + x127) + x617)) % 25) % (x246 + (x342 + (-21 + -13))))) * (x617 + (x36 - (25 + -77)))) + (((((2 + (x380 + ((x367 - x387) - -8))) + 38) * 47) / x604) + x604)) + ((((2 + (x380 + ((x367 - (-36 - x573)) - -8))) + 38) * 47) / x604)) + (x270 + ((((x93 + (((x53 + (7 - ((x246 + (x342 + (-21 + -13))) % (x200 + x239)))) * x469) - 9)) + x380) * x484) / ((x534 - x233) + x351)))) + ((x617 + (x36 - (25 + -77))) * 21))
Duration;309956
Testset error;1946.9774018279502
