Best individual;((((((((((((1 * (((x45 + 40) - x457) + x309)) * x478) + 81) + ((((((-3 - 81) + x309) + ((-42 - x501) + 58)) + 81) + 9) - x112)) - (((x74 + (x214 + (x187 + (42 + 1)))) + x624) % 81)) + (x417 + (((((-3 + (58 + (x547 % 81))) + (x173 + ((-3 + x378) + (x128 % 48)))) + ((1 * ((-3 - x457) + x309)) * x478)) - ((x112 + (x110 + ((x491 % 35) / 9))) % x25)) + 58))) % ((x361 - (-3 - (((((x74 + (57 + x74)) + x624) % 81) + 57) + ((1 * ((-3 - (x615 % x620)) + x309)) * x478)))) * x284)) + (((((((x74 + (x214 + (x187 + (42 + 1)))) + x624) % 81) + 57) + ((1 * ((-3 - ((x25 - (x585 / 42)) % x620)) + x309)) * x478)) - ((x112 + (x110 + ((x491 % (x478 * x78)) / 9))) % x25)) + 58)) + (((((((((-3 - (-3 % (-15 - -38))) + x309) + ((((9 + 81) + (x244 * x478)) - ((x112 + x400) % x25)) + 58)) + 81) + ((((((-3 - 81) + x309) + ((-42 - x501) + 58)) + 81) + 9) - x112)) - x112) + (x417 + (((((-3 + (58 + (x547 % 81))) + (x173 + ((-3 + x378) + (x128 % 48)))) + ((1 * ((-3 - x457) + x309)) * x478)) - ((x112 + (x110 + ((x491 % 35) / 9))) % x25)) + 58))) % ((x361 - (-3 - (((((x74 + (57 + x74)) + x624) % 81) + 57) + ((1 * ((-3 - (x615 % x620)) + x309)) * x478)))) * x284)) + (((((((x74 + (x214 + (x187 + (42 + 1)))) + x624) % 81) + 57) + ((1 * ((-3 - ((x25 - (x585 / 42)) % x620)) + x309)) * x478)) - ((x112 + (x110 + ((x491 % (x478 * x78)) / 9))) % x25)) + 58))) + ((1 * ((((-3 + (58 + (((x74 + (x214 + (x187 + x135))) + x624) % 81))) + (x128 % 48)) - x427) + x309)) * x478)) - ((-3 + (58 + (x547 % 81))) + (x173 + ((-3 + x378) + (x128 % 48))))) + (((((x74 + (x214 + (x187 + (42 + 1)))) + x624) % 81) + 57) + ((1 * ((-3 - ((x25 - (x585 / 42)) % x620)) + x309)) * x478)))
Duration;347046
Testset error;2082.880502220832
