Best individual;(((((((((((x480 + (x480 + (2 % ((x345 + x423) * 14)))) + (x345 + x49)) - 5) - 34) * 19) + (14 * (x4 - (-17 * 13)))) % (x345 + x49)) + (((((((x602 - (5 - (((-41 - x209) + x602) + x288))) * 14) + 14) % ((19 + x249) - x209)) + 36) - (x480 - ((19 + x249) - x209))) + ((((((((19 + (x602 % (x545 - -59))) % (((x4 - x221) + 36) * x480)) - ((28 - (14 / (x445 + 3))) - -59)) + (x246 - (45 + 14))) * x4) + (x613 + ((x169 + ((-43 + (x463 / (14 + x169))) * (19 + x249))) - x445))) % (x169 + (x602 - (((x169 + (((x480 + x480) + x49) - 5)) + 36) - ((2 + x602) + x288))))) + 5))) - (x480 - ((19 + x249) - x209))) + (((((((((x480 + (x480 + (2 % ((-67 + x275) * 14)))) + x49) - 5) - 34) * 14) + 14) % (x345 + x49)) + (((((((x602 - (5 - (((-41 - x209) + x602) + x288))) * 14) + 14) % ((19 + x249) - x209)) + 36) - (x480 - ((19 + x249) - x209))) + ((((((((19 + (x602 % (x545 - -59))) % (((x4 - x221) + 36) * x480)) - ((28 - (14 / (x445 + 3))) - -59)) + (x246 - (45 + 14))) * x4) + (x613 + ((x169 + ((-43 + (x463 / (14 + x169))) * (19 + x249))) - x445))) % (x169 + (x602 - (((x169 + (((x480 + x480) + x49) - 5)) + 36) - ((2 + x602) + x288))))) + 5))) - (x480 - ((19 + x249) - x209)))) + (((((((((x4 - (x480 - ((19 + (x602 % (-29 - -12))) - x209))) + (x246 - (45 + 14))) * 14) + (5 / 52)) % ((19 + x249) - x209)) + x249) - ((52 + (x613 + ((x169 + (x602 - (((x169 + ((x345 + x49) - 5)) + 36) - ((2 + x602) + x288)))) - x445))) % (24 % (-4 - (x27 - ((28 - (5 / 52)) - -59)))))) + ((((((x480 - (x480 - ((19 + (x249 % x209)) - x209))) + (x246 - (45 + 14))) * (((((((x4 - (x480 - x68)) + (x246 - (45 + 14))) * 14) + (5 / 52)) % x480) + 36) - (x480 - 50))) + (x463 / (33 % (14 * (x4 - (-17 * 13)))))) % ((19 + x249) - x209)) + 36)) + (x249 * ((14 * (((((((x4 - (x480 - ((19 + x249) - x209))) + (x246 - (45 + 14))) * 14) + (5 / 52)) % x480) + 36) - (x480 - 50))) - 2))))
Duration;347345
Testset error;1973.9897541705443
