Best individual;(((((((((((((x289 + ((93 * x136) + (x327 / x278))) % x183) - (((-12 - 42) * (49 / x442)) + x327)) / (((((x232 + x195) + (42 * 21)) - (49 + 21)) - 48) % 47)) * (((4 + (((x101 / x81) - (x551 * x122)) - x425)) - (x238 - x425)) - ((x157 - x50) - (x113 + x174)))) + (((4 + (((x101 / x81) - (x551 * x122)) - x425)) - (x238 - x425)) - ((x157 - x50) - (x113 + x174)))) - 49) - x227) / x227) * x122) / x311) - x289) + ((((((x279 / ((x425 + (((((-12 - 42) * (49 / x442)) + x327) - x183) - (-47 + (x183 + x230)))) * 21)) + x446) + x199) * 44) + (((4 + (((((((((x183 + x571) + x195) + (42 * 21)) - (49 + 21)) - 48) % 47) / (x311 / 80)) - (((x139 - x439) / x227) * x122)) - x425)) - (x238 - x425)) - ((x157 - x50) - (x113 + x174)))) - (-48 + ((x529 - 34) - x248))))
Duration;312864
Testset error;1958.0502967049922
