Best individual;(((x289 * ((((((x531 * ((x566 - ((x531 * ((x319 - x143) + (x72 / x523))) + ((x566 + (x16 + x123)) + 25))) + ((((x258 + x244) / x523) + x81) / x523))) + ((x566 + ((x595 - x275) + (x523 + 5))) + 25)) / x523) + ((((x427 * 23) + 35) * 23) * x268)) / x523) + 47)) % ((((x427 * 23) + 35) * 23) * x268)) + (((x531 * (((((((((23 + ((x527 - x135) + (x108 + 25))) / x523) - x135) + ((x566 + ((x595 - x275) + (x523 + 5))) + 25)) / x523) + ((((x427 * 23) + 35) * 23) * x268)) / x523) - x135) + ((((((x555 / ((((x56 * x566) + 47) * 23) * x268)) - x135) + ((x566 + (x599 + ((5 % (x56 * x335)) + 70))) + 25)) / x523) + x81) / x523))) + x523) + x523))
Duration;309944
Testset error;1914.8351783680714
