Best individual;((((x128 + ((x167 * ((x597 + (((-48 + ((x118 + ((-8 + x257) * x381)) / (((-42 % x455) + (x601 - x11)) + ((x128 + x399) % (58 + x298))))) + (((-77 + ((x237 - x332) + x101)) - -35) * -38)) / ((x128 + ((x167 * ((x597 + x69) + x257)) + 77)) % (58 + (x154 - ((x118 - (-23 + 6)) + x275)))))) + x257)) + x487)) % (58 + (x154 - ((x118 - (-23 + ((((17 - (((x597 + x492) + x257) + x105)) * x381) + 75) + 75))) + x275)))) + ((-48 + ((x118 + (x154 / (x455 + -77))) / (((-42 % x455) + (x601 - x11)) + ((x128 + x399) % (58 + x298))))) + (((-77 + ((x237 - x332) + x101)) - -35) * -38))) + ((x128 + ((x167 * ((x597 + ((-25 + ((x96 + ((x257 % (50 + 44)) + (x399 % x624))) + x597)) / x270)) + x257)) + 77)) % (58 + (x154 - ((x118 - (-23 + ((((17 - (((x597 + x492) + x257) + x105)) * x381) + 75) + 75))) + x275)))))
Duration;311933
Testset error;2028.5986305063418
