Best individual;((((((92 * ((((x169 + ((((92 * (x30 / 19)) + ((x506 % -32) + (x233 * x453))) + (35 + (x133 * (x613 / x60)))) - x248)) - x462) % ((((((x383 - (x12 + 35)) + x248) - 13) * x292) + x462) + x367)) / x516)) + ((((((x173 % (((x383 - x79) + x248) + (x476 * 35))) + x462) * x55) % ((92 * x16) + x600)) + 66) % ((x115 - 13) + x248))) + (35 + (x133 * (((((((((-6 + x620) + x292) + (19 + (x133 * x622))) + ((x133 * (x249 / x516)) * ((x476 * 35) / (x551 - x474)))) + (x515 * (x133 + ((66 + x119) % 92)))) + (19 * 66)) + ((((13 % ((92 * x188) + x600)) + 66) % ((x173 % ((-57 + x462) + x367)) * x173)) * (x601 + 31))) * (x248 % ((x173 % ((((x133 + x319) + x367) + x462) + x367)) * x173))) / (x169 + (9 * ((x209 + (x515 * (x133 + ((66 + 52) % 92)))) + ((x173 % (((x383 - 13) + x248) + x367)) + x424)))))))) + (((((x248 + (x133 * (((x173 % (21 + x173)) + (66 + x119)) / (((x317 + x292) + (19 + x150)) + ((x133 * 34) * (x82 / x100)))))) * ((66 + ((x169 + (9 * x133)) + x86)) + x515)) % ((92 * x16) + x600)) + ((66 + (19 + x86)) % 92)) % ((x115 - 13) + x248))) + ((((((x248 + (x133 * (((x173 % (66 * x622)) + x424) / -34))) * x55) % ((92 * x16) + x600)) + ((66 + (19 + x86)) % 92)) % ((x115 - 13) + x248)) + (((((((x173 % (((x383 - x79) + x248) + (x476 * 35))) + x462) * x55) % ((92 * x16) + x600)) + 66) % ((x115 - 13) + x248)) + ((x173 - ((x379 * x367) * (x462 + x462))) * x453)))) + (19 * 66))
Duration;333125
Testset error;2044.2979631888427
