Best individual;(x462 * ((((((((((x474 + ((34 + (x313 + (x108 + x267))) * 23)) % x450) * x192) * (((((((-4 + x549) / (x35 + x473)) * x462) + (x80 * -5)) + ((x474 % ((x598 + 56) + (x569 + 96))) + 65)) / ((x417 * (x192 - ((23 + 65) * x462))) + x448)) + 96)) % (x80 * -5)) + -5) + (((((x474 % ((((x474 % x584) + (x80 * -5)) * 23) % (34 + ((x474 % x99) * 7)))) * (56 - ((x474 + ((x462 + x515) * 23)) % x450))) + x448) * (((((((-4 + x549) / (x35 + x473)) * x462) + (x80 * -5)) + ((x474 % ((x598 + 56) + (x569 + 96))) + 65)) / ((x417 * (x192 - ((23 + 65) * x462))) + x448)) + 96)) % ((34 + ((x474 % (x533 - (x563 + x442))) * 7)) * 23))) + ((34 + ((x474 % (x533 - (x563 + x442))) * 7)) * 23)) / ((x417 * (x192 - (((x313 + (x559 + (48 + ((-4 + ((x21 * 26) + (x345 + x80))) * x462)))) + 65) * x462))) + x448)) + ((((x474 % (x533 - ((x474 % ((((x474 % x584) + (x80 * -5)) * 23) % (34 + ((x474 % x99) * 7)))) * (56 - ((x474 + ((x462 + x515) * 23)) % x450))))) * 7) + x563) + x559)))
Duration;320825
Testset error;2035.046377783559
