Best individual;(((((x205 * ((((((((x296 - ((-37 * x130) * (27 - x603))) - x120) / (21 % (x96 + x120))) - (x205 * ((x0 + (x296 + x606)) + (x23 * x614)))) * ((((x205 * ((x132 - -7) - 26)) - (-7 * x496)) / x606) - -45)) * (x172 / (-45 * (((x0 + (21 % (54 + x544))) + (x23 * x614)) * (27 - x603))))) - (x192 * x350)) - 27)) - (-7 * x496)) / x606) - -45) * 27)
Duration;296700
Testset error;1889.3160264288615
