Best individual;(((-16 * (x595 + ((5 / ((((((((-16 + (x58 % x453)) % x49) * 29) + (x49 + x447)) * x534) + x447) % 37) + x178)) + ((5 / ((((x49 * (x430 % (x547 + ((x424 % 29) * (-75 * x285))))) + x447) % 37) + x178)) + -81)))) % (((14 % x598) * 29) + (x49 + x447))) + (((x598 * (x595 + (x453 + ((((x463 * ((x592 + (29 % ((29 % x294) + (47 + 37)))) + x228)) + x447) % 29) * x581)))) % (((14 % x598) * 29) + (x49 + x447))) + (((x596 * (((x592 + (29 % (((((x72 % (x534 / x487)) * 29) + (x49 + x447)) / ((36 + (x453 * (x283 - x494))) * x49)) + 80))) - -81) + (x534 / ((x592 + ((((((-16 + 38) / x13) + (5 / (x547 + x178))) * ((x592 + (x430 / x514)) + x451)) % x463) + (((x592 + (x214 % x213)) - -81) * 18))) + 37)))) % (((14 % x598) * 29) + (x49 + x447))) + (36 * 38))))
Duration;312112
Testset error;1938.3104733204768
