Best individual;(((((x545 - ((x121 * (((((((x349 % (49 + x560)) + ((x50 + 14) + 40)) + x115) + ((((52 - 56) + (x497 + x433)) + ((x122 * x373) * x240)) + x545)) + (55 + (x121 + ((59 * (x382 + -60)) / x240)))) + 56) + (x109 + (x554 + (x54 - x346))))) + -56)) + ((((((((((x349 % (67 + 39)) + ((x50 + 14) + 40)) + x115) + ((((52 - 56) + (x497 + x433)) + ((x122 * x373) * x240)) + x545)) + (55 + (x121 + ((59 * (x382 + -60)) / x240)))) + x78) - 39) + (x497 + (x432 - (((x523 * (((49 % x60) * x373) + 40)) + x121) + x566)))) + ((((-28 + (((x109 + (x554 + (x54 - x346))) % x545) + (x556 + x50))) % 39) * x373) * x240)) + x94)) % ((49 + (((((-13 + 67) * (x461 - x174)) + 39) + 56) + 40)) + x115)) + (((((x625 - ((x523 * ((((-28 + ((x349 % x453) + (x556 + x50))) + (55 + (x121 + (59 / 56)))) + 56) + x28)) + -56)) + (((x231 + ((((-28 + ((x188 % x545) + (x556 + x50))) % 39) * x373) * x240)) + ((((59 + (x69 + x13)) % x545) + x3) % x545)) - x497)) + ((((-28 + (((x109 + (x554 + ((x240 + x94) - x346))) % x545) + (x556 + x50))) % 39) * x373) * x240)) + x121) - x497)) + (49 + ((((((49 + (((((-13 + 67) * (x461 - x174)) + 39) + 56) + 40)) + x115) + x295) + (55 + (x121 + ((59 * (((((x523 * (-1 + x28)) + x566) + x488) + x78) + ((x497 + (x432 - x435)) + 44))) / x240)))) + x78) + 80)))
Duration;330118
Testset error;2113.5835244542423
