Best individual;((((((x594 + ((((x473 + (2 * (2 + (35 % (22 + (x303 * x555)))))) - (((2 * ((-9 + x208) + 26)) + (((x307 - x245) - x435) + (x256 % x497))) - (x256 + ((-6 + 2) + 59)))) * 2) + (x72 + x372))) + 35) % ((35 * x599) + x530)) + 35) + (((2 * ((((x473 + (2 * (x573 + (35 % (((-10 + 2) + x530) + ((2 * x534) + (x72 + x372))))))) - (((2 * ((-9 + x208) + 26)) + (((x307 - x245) - x435) + (x256 % x497))) - (x256 + ((-6 + 2) + 59)))) + (29 * (2 * (x573 + x479)))) + 31)) % (-26 - (x401 * x416))) % ((x69 + ((2 * (x573 + (((3 + x358) * 81) + ((x351 % x515) - (x247 * x594))))) + (((x307 - (x568 - (x150 + x273))) - x435) + (x256 % x497)))) + (x588 + (22 + (2 * ((29 * (2 * (x573 + x479))) + 29))))))) * ((((((((x307 + ((35 % (((2 + x482) + (2 * x619)) + 59)) % (2 + (35 % (22 + (x143 * -13)))))) + 2) + 59) + 2) + x530) + 35) % ((35 * x599) + x530)) + ((35 % (((x72 + (2 * ((((x473 + (2 * (x372 + -5))) - (((2 * x551) + (x438 + x186)) - (x256 + (-15 + 59)))) + (29 * (2 * (x573 + x479)))) + 31))) + x530) + x72)) % (x594 + ((((x473 + (2 * (2 + (35 % (22 + ((x589 + x497) * (x307 + x435))))))) - (((2 * ((-9 + x208) + 26)) + (((x307 - x245) - x435) + (x256 % x497))) - (x256 + ((-6 + 2) + 59)))) * 2) + (x72 + x372))))))
Duration;322510
Testset error;1980.2956980524104
