Best individual;(((((x174 - (49 / ((x337 * (x524 * ((((((x11 * x139) - 33) - x561) % 19) - -21) + ((33 * (x440 + (x337 * (x191 * -38)))) * ((x520 - x561) % 19))))) - x94))) - (54 / ((x337 * (54 * ((((x191 + (x264 % ((x139 - 33) - x264))) * x139) - 54) / (((x82 - (x39 + ((33 * x565) * (x524 * 54)))) - -38) / 9)))) - x117))) - ((54 * ((((x191 + (x264 % (19 - x264))) * x139) - 54) / (((x82 - (x39 + ((33 * (x440 + x155)) * (x524 * 54)))) - -38) / 9))) % -24)) * 54) * (x264 % (((x520 - x561) % 19) - -21)))
Duration;299479
Testset error;2206.7349931120834
