Best individual;(((((87 % (87 - (26 * (((((((61 + (61 + x87)) % (13 % x295)) * 61) / 26) + (((((87 % -6) + (26 * 61)) + ((x183 * x135) + (x440 + x154))) % (((x321 + x615) % (13 % x295)) * x587)) + ((x9 + ((x52 / x209) + (26 * 61))) - 87))) + 87) % (x367 - (((61 + (61 + ((61 * -13) + (x105 + x154)))) % (13 % x295)) * 61)))))) + (26 * 61)) + (((((x81 + ((x552 - (((((x321 * x552) - 7) + x209) % (x209 + ((x100 - x367) % (x86 / 87)))) - x379)) % ((52 + x81) / 87))) - x58) / x209) * ((x411 + ((x100 - ((x367 * x163) - 7)) % (((x321 + x615) % (13 % x295)) * x587))) - x58)) + (((((x9 / (((26 * x209) + ((((47 - x493) + x50) / x209) + (26 * 61))) - (26 * 61))) * ((26 - ((x379 / (x552 + ((33 + x409) + x154))) - x58)) * x505)) / x209) + (x492 * ((x265 % (x506 - (26 * 61))) + (26 * 61)))) + x154))) % (((x321 + x615) % (13 % x295)) * x587)) + ((x9 + (((x552 + (((((x411 + ((x100 - ((x367 * x163) - 7)) % (((x321 + x615) % (13 % x295)) * x587))) - x58) / x209) + (x492 * ((x265 % (x506 - (26 * 61))) + (26 * 61)))) + x154)) / x209) + (26 * 61))) - 87))
Duration;324923
Testset error;1963.1067443231882
