Best individual;(((((((((((((((x556 + x126) - 40) - 8) - ((x51 + (x126 + x479)) + 40)) / (x15 - ((x167 - x590) - x592))) + (((((x235 - 8) - (x53 + 40)) / (x15 - (x531 - x592))) + x132) + x616)) + (80 - 68)) % (((((-37 + (37 + (x132 + 40))) - 8) - (((x51 + (x616 - x326)) - 37) - x592)) / x507) + x0)) + x474) + x590) * 8) + 37) - (((x51 + ((((x165 * (x529 - (x51 + (x616 - ((x556 * 8) + (x17 + x467)))))) + (x17 + (x293 + x482))) + x616) - ((x165 * ((12 / ((x121 / (x203 + (80 - 68))) + x61)) * (((x15 - ((x167 - x590) - x592)) / x507) + x51))) + (x61 + (40 * x479))))) - (x358 * (((((-37 + (37 + ((x61 + (5 + x474)) + 40))) - 8) - (((x51 + (x616 - ((x165 * -6) + (x17 + x467)))) - 37) - x592)) / x507) + x0))) - 40)) / x507) + (40 * x479))
Duration;313755
Testset error;2011.064234407842
