Best individual;(((((((x267 * (-21 + (((-31 + (x27 % (x61 - (19 - (x27 + -46))))) + x422) % (x422 * x438)))) + ((-46 + ((x115 % ((((-46 - (x61 + x422)) - (18 * -70)) - (x61 * 0)) - ((47 * x59) + x267))) * (19 - (x43 + x539)))) % ((((x31 + ((x27 % (x61 - (19 - 6))) * 47)) % ((80 - (((x61 * 0) + x267) + x422)) + (x177 - ((x482 % x507) * (-46 % (x422 * x438)))))) + 15) + 80))) % ((47 * x59) + x267)) + (((x568 + ((47 % ((-46 % (x422 * (((x507 + x14) % (x167 + 80)) + 80))) - (((80 * ((x422 - -31) * x115)) - (((x313 + x267) + x422) % 11)) - 80))) * 47)) % ((((x31 + ((x27 % (x61 - (19 - (x43 + x539)))) * 47)) % ((80 - (((x61 * 0) + x267) + x422)) + (x177 - ((x482 % x507) * (-46 % (x422 * x438)))))) + 15) + 80)) + (-46 % (x422 * x438)))) + ((-31 + (x27 % (x61 - (19 - (x173 + x422))))) + x422)) * x173) - (18 * -70))
Duration;315965
Testset error;2280.4873880200903
