Best individual;((((((((42 + ((((x21 / ((x555 / (x359 - x430)) + x269)) * 42) - x118) + ((64 * x433) + (24 / x227)))) + x605) * (x112 / (64 + ((((24 - (((-3 + -33) + (x455 - x457)) - x180)) - x296) - (x500 * ((x605 - x21) + 42))) + x269)))) + (((((64 + ((24 - (x500 * ((x555 - x368) + 42))) + x21)) + (((((64 + (32 + x269)) + x427) + ((x265 + (x397 + 42)) - ((x455 - x118) + x495))) + (x17 % (-3 - (x294 * 18)))) / (x555 + (x296 / (x555 + ((x389 + x460) + (64 * x224))))))) + (x555 + x269)) + ((x96 + (((x296 % (64 * ((x521 + 42) + x381))) - (x500 * ((x130 - x21) + 42))) + x269)) + 24)) / (x555 + (x296 / (x555 + (((((x96 + (x393 + x531)) + x495) + x427) + ((x265 + ((x310 - x21) + 42)) - ((x455 - x118) + x495))) + (64 * (-3 + 28)))))))) + (x265 + (((((64 + ((((24 - (-8 - x180)) - x296) - (x500 * ((x605 - x21) + 42))) + x269)) + x227) + ((x265 + (((((x500 * x368) + (24 / x227)) * x149) - x21) + 42)) - ((x455 - x118) + x495))) + ((x96 + (((x296 % (64 * ((x521 + 42) + x381))) - (x500 * ((x130 - x21) + 42))) + x269)) + 24)) / (x112 / 24)))) + ((x265 + (((((x500 * ((((x112 / 24) * x170) - x21) + 42)) + (24 / (x555 + x269))) * x149) - x21) + 42)) - ((x455 - x118) + x495))) + (64 * (-3 + 28))) - (x500 * ((((24 / (x555 + x269)) * x170) - x21) + 42)))
Duration;352093
Testset error;2039.2263664045342
