Best individual;(((((((((x140 * ((((((x184 / x222) * x140) * ((-42 + x46) % 8)) + 23) + (49 * (x169 * ((x47 * x140) + 89)))) + (((((41 + 89) + x140) + (x82 * x200)) + (49 * (x169 * -7))) + (x414 + ((x619 + x85) * x149))))) + (x184 / ((63 * (x140 + (((x457 + x224) + x511) + 46))) + ((x184 / (x60 * ((x60 * x416) + 23))) + x542)))) + x169) + (49 * (x169 * ((x224 * (((((-27 - x30) + x285) + x231) * -27) + x565)) + 89)))) + ((((-27 / (x82 * (x515 + (x369 - ((25 + (-26 - 64)) + ((x230 + x384) + 36)))))) + 63) * 25) + (x414 + (65 * x149)))) / (x82 * ((x167 * (14 - (x184 / ((63 * (x140 + (((x457 + x224) + x511) + 46))) + ((x184 / (x60 * ((x60 * x416) + 23))) + x542))))) + (x369 - ((((((x542 * ((x3 + 38) % 8)) + 37) % x269) - x199) + x285) + x231))))) + 65) * 25) + (x414 + (65 * x149)))
Duration;313174
Testset error;1973.8416540014152
