generation;fitness;time
0;2079.4591054270354;771
1;2096.6813064032244;1146
2;1938.132162646332;1532
3;2096.1200383114933;1919
4;1940.5972808089682;2300
5;2096.1200383114933;2672
6;1941.1056047833115;3052
7;2096.1200383114933;3438
8;1940.1660902150732;3806
9;2097.5379121298265;4191
10;1959.7770118720634;4571
11;2077.1949845944023;4968
12;1937.4794721633336;5341
13;2086.674533464162;5726
14;1952.7191834350217;6110
15;2077.2261705299948;6498
16;1938.019375500477;6871
17;2077.293515307833;7274
18;1934.6066556666153;7665
19;2072.2825344959065;8055
20;1934.8295593350372;8430
21;2074.684585330898;8831
22;1934.6275408809267;9243
23;2073.8614580457534;9671
24;1933.7225338503206;10060
25;2066.0445632750325;10444
26;1933.119429111945;10833
27;2072.762163320485;11228
28;1892.6720273397896;11621
29;2019.9238408946464;12004
30;1865.2123274190585;12395
31;2028.7157145551519;12791
32;1890.185273394444;13183
33;2044.898700060761;13571
34;1890.185637197364;13964
35;2004.1842982135292;14362
36;1890.1848967062078;14763
37;2021.943145272384;15165
38;1890.1864817946412;15553
39;2054.654687068761;15957
40;1836.03335315349;16356
41;2041.3734449880596;16781
42;1836.081064630966;17184
43;2026.9484365743338;17580
44;1835.5233151390426;17982
45;2016.3529210622787;18389
46;1909.1166364612677;18792
47;2016.3529210622787;19198
48;1920.6014885854147;19590
49;1971.4346094697278;19997
50;1923.7321712700993;20406
51;2052.728943783895;20819
52;1913.9287496610457;21229
53;2050.295533342928;21641
54;1919.3186078970728;22034
55;2042.4544684653633;22448
56;1926.6565323838217;22853
57;2058.537481189268;23264
58;1926.345976163349;23672
59;2050.7967328466934;24087
60;1916.895263334743;24482
61;2062.6888370411248;24898
62;1921.6149095911928;25315
63;2049.862361263643;25739
64;1914.4470399899271;26177
65;2048.292250972097;26598
66;1915.9575998926741;26994
67;2041.7820171917858;27407
68;1908.3147594436493;27814
69;2047.9005359541354;28228
70;1885.216009836341;28639
71;2037.8748874467472;29054
72;1908.3147442559125;29451
73;2042.7966891684514;29869
