Best individual;((((((x11 * (((((((((x183 * x143) / (x395 + x515)) + (x13 * (x160 + -16))) + (((-19 + x370) * x51) / ((x183 + x532) + (x13 * -35)))) + ((((-19 + x370) * x51) / ((x183 + x532) + (x13 * -35))) + x570)) + (((((-8 + -10) + (x481 * 77)) + (x570 * x227)) + (((x421 * x51) / (x395 + x515)) + x570)) + (x404 * ((x404 + (6 + 39)) + (x481 * 77))))) + (x570 * x227)) + (((((x248 + x116) + (x116 + x10)) * x51) / (((x498 + 50) + (-82 + x224)) + (x13 * (x160 + -16)))) + x570)) + (-8 + -10))) * x268) + ((49 / x625) * 36)) * 19) / ((x13 + x498) * x11)) + ((49 / x625) * x11))
Duration;308870
Testset error;2037.0440826713768
