Best individual;((((((x27 - (((x169 / (x169 % ((5 + (((x369 - x114) / x114) - ((x173 * x267) + (x62 + x114)))) + (((x252 - (x235 + x278)) * 73) / x624)))) * (x228 % x269)) + ((-11 * x27) + (x558 - x236)))) * 73) / x624) + (((x418 - ((x558 * ((((((x432 - (x188 - 22)) + x465) / (((x272 - x377) - x287) + x169)) - x449) + (69 + ((((x236 + x547) - (x321 + 16)) + x185) % x269))) * 73)) + (((((5 + (((15 - x269) / x114) - ((26 * x249) + (-56 + x563)))) + (((x252 - (x49 + x360)) * 73) / x624)) + ((-11 * x27) + (x558 - x236))) - ((((x558 / x624) % x114) + 88) + x51)) - ((((x465 / (x221 / ((17 - x570) + x169))) / (((x252 - (x502 + -9)) * 73) / x624)) * (x228 % x269)) + (((x106 / x185) * (x228 % x269)) + ((-11 * x27) + (x558 - x236))))))) / x114) - ((((x465 / (x221 / (((x471 + (69 + ((x4 + -11) % x269))) - (x418 - x558)) + x169))) / (((x252 - ((((x169 - (x432 - 7)) / x185) * (x228 % x269)) + ((-11 * x27) + (x558 - x236)))) * 73) / x624)) * (x228 % x269)) + (((x106 / x185) * (x228 % x269)) + ((-11 * x27) + (x558 - x236)))))) + (((x252 - (((((((x432 - (x252 - ((88 * x13) + (x402 + 69)))) + x465) / ((((x150 / x114) - x377) - x287) + x169)) - x449) / x185) * (x228 % x269)) + ((-11 * x27) + (x558 - x236)))) * 73) / x624)) + ((42 * 39) + x611))
Duration;338286
Testset error;1893.2041014279835
