Best individual;(((((((((((((((63 + x50) / (x538 * -65)) + x294) * (x517 - (30 / (x82 % x598)))) - (30 / (x495 % x598))) + ((30 + (((-38 + 5) + 9) + x517)) + x204)) - ((((((x123 + x426) + (x150 + 30)) / (x538 * (x517 + x517))) + x294) * (x517 - (30 / ((x517 + x259) % x598)))) - x219)) / (((((x517 + (-77 + (x404 + x310))) / x269) + x602) * (x517 - (30 / ((x517 + (55 + x50)) % x598)))) - x219)) + x598) * (x517 - (30 / ((x517 + (55 + (((x547 % (x565 + x547)) + (x426 - (x82 % x171))) + (-65 + (x598 + (x204 / x269)))))) % x598)))) - (x517 + (55 + x50))) + (30 / ((x517 + (55 + (((x547 % (55 + (x341 + ((x280 + 55) + x140)))) + x426) + (-65 + (x598 + (x204 / (55 % (x517 + (x241 - x446))))))))) % x598))) + ((((((((((((x132 + x140) + x517) + x517) - x71) + (x143 * 30)) + x140) + x517) + (30 + ((30 + ((((30 - x602) + (x143 * 30)) + x140) + x517)) + x517))) + x140) + ((30 + (((((x140 - (x517 + (-77 + -42))) + (9 + ((9 + -14) + (x241 - x446)))) + 5) + 9) + x517)) + x204)) + ((9 + (5 + ((9 * ((-65 + (x598 + (x204 / (55 % x446)))) + 30)) - 9))) + ((x140 - (x426 - (((x547 * (x517 - x313)) - x219) % x171))) + (((x517 + (9 + (30 + x426))) + 5) * 30)))) + x140)) / x517) + (x472 * (((x517 + (((55 + ((((x538 * (x517 + x517)) - x140) / 55) + x294)) % x269) + 9)) + (x517 + (55 + (x204 + x153)))) + ((5 + x455) + 30))))
Duration;352417
Testset error;2027.25171406978
