Best individual;((((((((27 - (((((x612 / ((40 / x612) - x555)) + ((x191 + (x497 - x162)) + (x555 * (-38 * x132)))) + (x555 * (-38 * (x140 - x493)))) + (((20 - ((x149 * x275) / x555)) * x71) + (x285 - (((x93 + x344) + x140) + ((x497 + 73) / x555))))) - x466)) + -38) / x612) - ((x183 + (x56 + (x285 - ((((((x39 + x466) - (-39 / x555)) - x194) + x183) + x140) + ((((27 - (-21 - x220)) + x494) + 73) / x555))))) - (76 * x493))) + (((x39 + x466) - (-39 / x555)) - x194)) + ((((54 + (x418 / (((27 - ((x285 + x93) - (76 * x493))) + (((x228 - x344) + x56) * (42 + -38))) + (x276 * (x494 * ((20 - x304) * x71)))))) * x294) - (-28 % (10 % 36))) + (((x612 + ((((x414 + (x498 + 15)) - x344) + x56) * (42 + -38))) / x275) + x177))) / x555) + ((x555 * (-38 * (x234 - x391))) - x290))
Duration;316149
Testset error;1913.992467442113
