time;testset error
284458.0;2668.931502145423
269293.0;2016.4790795419744
271852.0;2238.498143146683
314374.0;2368.1323782915415
273482.0;2147.4737847446395
336901.0;2118.6811670976035
308418.0;2031.1175448080019
282549.0;2015.6197607227546
296045.0;2317.687752873032
297051.0;2237.774936923966
296970.0;114001.17313422833
282065.0;3091.8972479372756
286234.0;2119.5634447236916
278307.0;2987.534616563159
275750.0;2208.897396413875
272466.0;2122.8658513235996
302945.0;2151.9679507334804
272903.0;5903.619499524007
292712.0;2287.0050254157513
280354.0;2121.529470369792
281542.0;2120.7350100643507
277601.0;2714.4739863841387
281227.0;2224.1070671434168
287915.0;2258.545321395254
324593.0;2116.0130705309825
308370.0;2214.1242701140454
293613.0;2202.7562836220477
299816.0;2190.4455868872055
278428.0;2340.0792991898898
270325.0;2170.980167600427
