Best individual;((((((x246 / (((((x583 + (x299 + (((x125 + x135) * 16) / ((-32 % 48) + x583)))) % 48) / (x583 % x212)) + ((((48 + x583) / x583) + ((48 - -5) + x246)) % 48)) % x212)) + ((((48 + x583) / x583) + ((48 - -5) + x246)) % 48)) % 48) + ((x614 + 48) % (48 + x340))) * ((x132 + ((((x583 + (x299 + (((48 + ((x614 + 48) % (48 + x340))) * 16) / ((((x281 / 48) + (x416 + x246)) % 48) + x583)))) % 48) / (x583 % x212)) + ((((48 + x583) / x583) + ((48 - -5) + x246)) % 48))) % (48 + (((((((48 + (((x266 + x583) / x583) + ((x544 / x583) + (x299 + x246)))) / 48) + ((48 - -5) + x246)) % 48) / (x583 % x212)) + ((((48 + x583) / x583) + ((48 - -5) + x246)) % 48)) % 48)))) + (x583 + ((x132 + x299) + (-30 + x246))))
Duration;226796
Testset error;2011.4318655004665
