Best individual;((((((x394 * ((x186 + (((((((x607 / x592) + (x394 * -54)) + (x186 % (-52 + x241))) / (((x515 * x152) + (x343 + 20)) + (x394 * (x459 + x19)))) + (x394 * (20 + (x186 % -21)))) + (x186 % -21)) + x607)) + (x186 % (x394 * ((x607 / (27 / (((x394 + x398) + (x607 / x320)) + x398))) + (x394 * x181)))))) % (x394 * (20 + (x186 % (((x607 / ((x186 + ((20 + 20) + x607)) + (38 + 22))) + (x394 * (20 + (x186 % -21)))) + (27 / (x442 + x398))))))) + x286) + ((x394 * (20 + (x186 % (x394 * ((x607 / (27 / (((x394 * (x394 + -78)) % -21) + x398))) + (x394 * x181)))))) % (x394 * (20 + (x186 % (((x607 / ((x186 + (x483 + x607)) + (38 + 22))) + (x394 * (20 + (x186 % -21)))) + (27 / (x442 + x398)))))))) + (((((x394 * (20 + (x186 % (x394 * ((x607 / (27 / ((53 + x504) + x398))) + (x394 * x181)))))) % (x394 * (20 + (x186 % (((x607 / ((x186 + (x483 + x607)) + (38 + 22))) + (x394 * (20 + (x186 % -21)))) + (27 / (x442 + x398))))))) + x286) + (20 + (x186 % (((x607 / ((x186 + ((20 + 20) + x607)) + (38 + 22))) + (x394 * (20 + (x186 % -21)))) + (27 / (x442 + x398)))))) + (x394 * (20 + (x186 % (x394 * (20 + (x186 % (((x607 / ((x186 + (x459 + x607)) + (38 + 22))) + (x394 * (20 + (x186 % -21)))) + (27 / (x442 + x398))))))))))) + ((38 + x390) * 20))
Duration;225852
Testset error;5894.483072060893
