Best individual;((((((((((x131 * (((((12 * x591) + x380) + (x446 + 16)) % (x599 + ((-64 + x232) + 23))) + (16 * ((x467 * 12) + x380)))) + x380) + (x446 + 16)) % (x599 + ((((((12 * (12 + x232)) + x225) + (x242 + ((12 % x535) * (x446 + 16)))) + ((x7 % ((x67 - x595) + 12)) + (x446 + x289))) + x232) + 23))) + (16 * ((x467 * 12) + x380))) - x595) + (x242 + ((12 % x535) * (x446 + 16)))) + ((12 + ((x131 * ((((x242 + (x242 + ((12 % (12 + 12)) * x380))) % (x242 + (x446 + (((x266 + x225) % (x289 + 12)) + x242)))) + x242) + (12 % (x595 + ((((-59 + x446) + x446) + x417) + ((16 * (-13 + x380)) + 31)))))) + x380)) + x242)) + ((((((16 * ((x467 * 12) + x380)) + 31) + (x242 + ((12 % (x290 + x598)) * (x446 + 16)))) + ((x7 % (((12 + x232) - x595) + 12)) + (x446 + x289))) + x232) + 23)) + (x467 * 12))
Duration;221331
Testset error;2661.367730496669
