Best individual;((((((((((((x146 + ((x200 + (-7 * x139)) + (x277 + x132))) + x132) + x132) + ((((((-61 + x369) + 35) + ((x186 + x31) + (x174 * -4))) + ((35 + (x131 + 15)) + ((x198 + -82) + (x375 * -4)))) + ((x198 + (-27 + -61)) + ((x146 * x18) * -4))) + (((35 + ((x200 + x563) + (x277 + x132))) + ((x198 + (-27 + -61)) + ((x146 * x18) * -4))) + (x133 * 33)))) + (-27 + -61)) / x200) + ((((((35 + (((51 + x233) + x132) + (x277 + x132))) + (x233 + (35 * (-7 + x125)))) + (((x198 + (-38 + x233)) + x17) + (x277 + x132))) + x18) + (35 + (((35 + ((x200 + x369) + (x277 + x132))) + ((x198 + (-27 + -61)) + ((x146 * x18) * -4))) + (x133 * 33)))) + ((x146 * ((x507 + (-7 + (x617 + -61))) + (x195 + (35 + -61)))) * -4))) + ((35 + ((x198 + x599) + (x277 + x132))) + ((x198 + (-27 + -61)) + ((x146 * x18) * -4)))) + ((x198 + (-27 + -61)) + ((x146 * x18) * -4))) + ((35 + ((x200 + x369) + (x277 + x132))) + ((x198 + (-27 + -61)) + ((x146 * x18) * -4)))) + -61) + (35 * (-7 + (11 + 35))))
Duration;229635
Testset error;5868.0160952862
