Best individual;((((((((45 + (((4 % (x248 - ((x394 % (-24 - x81)) * 20))) + x556) % (x483 + ((45 + x394) % (x462 % 20))))) + (x248 / ((80 + x483) % 80))) + 20) % (x125 + 20)) + (((((45 + (((4 % (x248 - ((x394 % -9) * 20))) + x556) % (x483 + ((45 + x394) % (x462 % 20))))) + (x248 / ((80 + x483) % 80))) + 20) % (x125 + 20)) + x36)) + ((x125 + ((((((45 + (((4 % (x157 - x483)) + x556) % (x483 + ((45 + x394) % (x462 % 20))))) + (x248 / ((80 + x483) % 80))) + 20) + x556) % (x125 + 20)) + 20)) + (x189 % ((4 % ((((((((x21 + 4) % 4) + x483) % (x555 + x101)) * x147) * 20) + ((4 % ((((x450 + x483) % x483) + 45) - (20 % ((x157 % x81) + (4 % x483))))) * 20)) - x189)) * 20)))) + ((((((45 + (((4 % (x447 - x483)) + x556) % (x483 + ((45 + x394) % (x462 % 20))))) + (x248 / ((80 + x483) % 80))) + 20) + (x248 / ((80 + x483) % 80))) % (x125 + 20)) + 20)) * (x248 / ((80 + x483) % 80)))
Duration;228450
Testset error;2399.3681652831115
