Best individual;(((((x460 + ((x213 % (x303 + (x456 + ((x611 + (((x303 + x451) % 7) * x623)) * x623)))) * x623)) * (x326 + ((-27 + ((x456 % (((((x273 + (x456 * -8)) + -4) + x49) + 32) * (48 + (67 * 11)))) * x623)) * x326))) % ((x623 + (((x213 + ((((x213 % ((x303 + x451) + (x326 + x113))) + (x213 + (x273 * (x456 * (x326 + x113))))) + ((7 + 32) * x451)) * ((x456 % -27) * x623))) % (11 * (32 % ((x623 + ((x213 % (32 * (x273 * x113))) * x623)) + (48 % ((x611 + ((x456 % -27) * x623)) + 7)))))) * x273)) + (48 % ((x611 + ((x456 % ((((((x213 + x286) + 48) + -4) + x49) + 32) * (48 + (67 * 11)))) * x623)) + 7)))) * ((x213 + x286) + 48)) + ((x55 + (x213 + (x273 * ((67 * 11) + 32)))) + ((7 + 32) * x451)))
Duration;233115
Testset error;2182.1097476389796
