Best individual;(((x495 * ((((((((x377 * ((23 + ((74 / x617) + (x444 * x279))) + x106)) + ((x474 * (19 / ((x93 % x187) * x72))) + ((((x106 / x471) + (x90 * x279)) - -74) / x208))) % (((x93 % (x394 + ((x379 * x521) + x394))) + (x474 * (19 / (-58 * x72)))) + ((x592 + ((x474 * (19 / -17)) + x131)) + (x136 - ((9 / x67) - x302))))) + ((x474 * (19 / ((x93 % (x394 + (x6 + x379))) * x72))) + ((((x106 / (19 / (-28 - x91))) + (((x6 * x276) - -74) * x279)) - -74) / x208))) + ((x592 + ((x474 * (19 / ((x93 % (x394 + x609)) * x72))) + x131)) + (x136 - ((9 / x67) - x302)))) % x72) + ((x474 * (19 / ((x93 % (x394 + (x6 + (x377 * ((23 + 64) + x106))))) * x72))) + ((((x106 / (19 / (-28 - (((x317 + x389) + x495) - ((x93 % x319) + x106))))) + (((x6 * ((-28 - (x497 + x106)) * x592)) - -74) * x279)) - -74) / x208))) + x592)) + (-28 - (((x131 * x592) + x415) + x592))) + (((x6 * ((-28 - (x497 + x106)) * x592)) - -74) * x279))
Duration;226193
Testset error;5929.44818468593
