Best individual;((((x131 * ((((x493 % ((x131 * (x493 % (x493 + ((x131 * (x148 + x288)) * x127)))) + (44 + x186))) * ((x384 * x447) + x131)) + (44 + x186)) % 33)) + ((((x119 + (((x131 * (x288 + ((x384 * x62) + (x51 + x288)))) + x289) % 33)) * (x384 + (44 + -12))) % (((((44 + ((x490 + (x229 + (x51 + (x186 + x384)))) + x395)) * x131) * x289) + x119) + x62)) + (x493 % (((((44 + x186) * x131) * x289) + x119) + x62)))) + ((44 + ((x289 + x447) + x493)) * x447)) + ((x131 * ((((x493 % ((x131 * (x493 % (-21 + (((x131 * -33) + x119) * x127)))) + (44 + x186))) * ((x384 * x447) + x131)) + (44 + x186)) % 33)) + ((((x119 + (((x131 * (x288 + ((x384 * x62) + (x51 + x288)))) + x289) % 33)) * (x384 + (44 + -12))) % (((((44 + ((x490 + (x229 + (x51 + (x186 + x384)))) + x395)) * x131) * x289) + x119) + x62)) + (x493 % (((((44 + x186) * x131) * x289) + x119) + x62)))))
Duration;228535
Testset error;2906.3133743120948
