Best individual;((((((((((((x572 + (x171 + ((-58 * x8) % (x79 + x383)))) + (x79 + (x132 % (x79 + (x468 + 27))))) % (27 * (x572 / ((x267 * (x44 + 40)) % (x79 + x383))))) * ((((x468 * ((x156 + 5) % 4)) + (x468 * (x572 + (x171 + x437)))) + (x572 / ((x267 * (x485 + -16)) % (x79 + x383)))) * x273)) + x437) + (((x468 + (x79 + (x132 % (x595 + (x67 + x132))))) % 4) * ((((x468 * ((x156 + 5) % 4)) + (x468 * (x572 + (x171 + x437)))) + (x572 / ((x267 * (x485 + -16)) % (x79 + x383)))) * x273))) * (x325 * ((x565 + ((x132 + (x171 + (x132 * ((x27 + x468) % x468)))) % (35 * (x468 * (x572 + ((x442 + x595) + x572)))))) + (x171 + x325)))) / ((x267 * (x596 + (27 * (x572 / ((x267 * ((x267 * x273) + (x468 + x600))) % (x79 + x383)))))) % x481)) * x20) + -16) + (35 * (x468 * (x572 + (x171 + x437))))) + x132)
Duration;225729
Testset error;6242.431481010061
