Best individual;(x477 * (((((((x318 % ((x495 - (x131 + (25 % (((x131 * 25) + 25) - ((x81 - x335) % x477))))) + x81)) * (x467 + 32)) % (x81 - x335)) % (x442 * (71 % (x444 % (25 % (x596 + (29 % (-36 % 31)))))))) % x495) * ((x131 * (35 % ((((((-14 * 31) * 71) + (x162 + -4)) + ((71 % x495) * 0)) + (42 + (x388 * x81))) - x335))) % (x81 - x335))) + ((x442 * ((71 % (((35 + (25 % ((((31 * x511) + (x551 * 0)) + x110) - -14))) + x110) - -14)) % (x444 % (25 % (x596 + (29 % ((x81 - x335) % x477))))))) + 25)))
Duration;242580
Testset error;2770.126796375348
