Best individual;((((x434 + (x573 * ((x573 * (((((x252 * (((x226 + x117) / 5) + ((x400 / x254) + x245))) * -81) + (((x423 + ((x105 + x367) + 75)) * x471) + (((x573 * (x14 + x403)) + x471) + ((56 + (x229 + x439)) * x573)))) * x573) + (x226 + (x471 + (((((x187 + x466) + (x281 + -81)) + x213) / x254) + (x573 + ((x125 * (x573 + x595)) * x573))))))) + (((((((x257 + ((x430 + x245) + x252)) + (((61 + x254) + (x245 + x51)) + ((x373 + 56) + x245))) + x213) / x254) + (x573 + ((x125 * (x573 + ((x257 + 75) + (x210 * x573)))) * x573))) + x97) + (((x236 + ((x226 % (x252 * ((x400 / x254) + x245))) + 61)) + 56) + x245))))) + (x293 + (x573 * (x14 + ((x252 + (x245 + (((x573 * (x14 + (10 + (x97 + x245)))) + x471) + ((56 + (((x423 + x300) * x471) + ((x236 * x380) + (x252 + x213)))) * x573)))) + (((x236 + ((x226 % (x252 * ((x400 / x254) + x245))) + 61)) + 56) + x245)))))) * (x236 + ((x226 % (x252 * ((x400 / x254) + x245))) + 61))) + x236)
Duration;240234
Testset error;8179.082502132489
