Best individual;(((((x454 * (((x539 + (29 - ((x132 + ((((x132 + x306) + x306) + x306) + (x394 * x485))) + x147))) + (((((((x115 - (x485 - x161)) + x306) + 1) + x246) + x435) * x45) - x199)) / (((x64 % ((x202 * ((x132 - (x606 * (x132 - x357))) / ((x454 * (x236 / x485)) - ((32 - x75) + (-19 + x306))))) - ((((x132 - (x199 - x559)) + (58 + (x539 + 29))) - (58 + (x539 + 29))) + ((((x151 + 29) + (x132 - x538)) + ((x132 + x394) + x147)) + x306)))) + (x539 + 29)) + (x132 - ((x266 + x435) + (x306 + x115)))))) - ((((x132 - x412) + (58 + x414)) - (58 + (x539 + 29))) + (((x256 + x357) + (14 + x147)) + x306))) * x45) + (((((x64 % ((x202 * ((x132 - (x606 * (x132 - ((x594 + 58) + (x306 + x115))))) / ((x454 * ((x539 + (29 - 58)) / (x539 - (x477 - x199)))) - ((((x132 - x412) + (58 + x414)) - (58 + (x539 + 29))) + (((x256 + x357) + (14 + x147)) + x306))))) - ((((x132 - (x199 - (x132 + (29 - x445)))) + (58 + (x539 + 29))) - (58 + (x539 + 29))) + (((((58 + (x539 + x454)) + 29) + (x132 - (x199 - (x202 * x45)))) + ((x132 + ((x199 + -63) + (x394 * x485))) + x147)) + x306)))) + (x539 + 29)) + (x132 - ((x266 + x435) + (x306 + x115)))) - ((-62 + x400) + (x306 + x115))) + ((x539 + (29 - 58)) / (x539 - (x477 - x199))))) + (x132 + (((58 + (x82 + ((10 + (x199 + (((((x132 - (x199 - x512)) + (58 + (x539 + 29))) - ((-62 + x400) + (x306 + x115))) * x485) + x606))) + x485))) + ((x82 - (-56 + 1)) - x561)) + x113)))
Duration;223133
Testset error;27031.01783129766
