Best individual;(((((((((9 + (((((x125 - (x186 - 31)) / (-19 * (-12 % x120))) + (((21 + x309) - (x553 * 26)) % x120)) + x125) + ((22 * (69 + (x393 * (69 / -3)))) + (x176 + ((x436 + x21) + x21))))) - x176) + (9 * x125)) + (x186 % (-88 + -77))) - ((x176 + ((x21 + (22 - (x186 % (-88 + -77)))) + x21)) + x120)) % (83 + x425)) * x125) + (((28 + ((((28 + (69 + (((((x625 + x15) - x176) + (9 * x125)) + x125) + x120))) - x176) / (-19 * ((28 - ((22 - x89) * x125)) % x120))) + (((x89 % ((x21 * (x92 + (x436 + 69))) - (31 - x186))) + x125) + ((22 * (69 + (x393 * (69 / (((x517 / x77) + x186) - 26))))) + (x176 + ((x436 + x21) + x21)))))) - x176) + (9 * x125))) + -88)
Duration;225883
Testset error;2108.4195266151337
