Best individual;((((x265 - ((((27 - ((x227 + (((13 / ((25 + x495) % x545)) + 27) + ((((x443 % 13) * x259) % x545) + (x282 + x443)))) + 27)) + x240) - ((13 / (((27 * ((((x265 + x12) + (13 / x608)) / x227) + x282)) + x227) % x545)) + 27)) + (((((84 + x51) % (x572 + x0)) + (58 + -12)) + (((27 - x265) + x447) + ((x74 * x603) % (x0 + x132)))) + 13))) + x447) + (((13 / ((x227 + (x259 + (((58 + -12) % x545) + (27 * (x447 + x443))))) + (x227 + (x259 + (((x90 * x447) % x545) + (x282 + x443)))))) * x603) % (x0 + ((x227 + -35) + x282)))) + ((((27 * ((((17 + (x227 + (27 / ((17 + (13 + (x359 + 13))) + (13 / x608))))) + (13 / x608)) / x227) + x282)) - (((((((27 - ((13 / ((27 + x227) % x545)) + 27)) + (((((84 + x51) % (x572 + x0)) + (58 + -12)) + (((27 - x265) + x447) + ((x74 * x603) % (x0 + x132)))) + 13)) + (((27 * (((x53 + 27) + x0) % (27 * (x282 + x443)))) * x603) + (x60 + ((((x227 + x115) + 27) - ((13 / x608) - 13)) + (x447 + x608))))) + 25) + x227) / 13) + x443)) + ((((((((x227 + (27 / ((17 + (x227 + x459)) + (13 / x608)))) + x51) + (((27 - (((x613 * x447) % x545) + x443)) + x240) + 27)) + x51) % ((((27 - ((((x246 + x227) * x447) % x545) + x443)) + x240) + 27) + x0)) + (58 + -12)) + (((27 - ((13 / ((((x51 + 25) + x227) * x447) % x545)) + x443)) + x447) + (((13 / ((x227 + (x259 + (((58 + -12) % x545) + (27 * (x447 + x443))))) + (x227 + (x259 + (((x90 * x447) % x545) + (x282 + x443)))))) * x603) % (x0 + ((x227 + -35) + x282))))) + 13)) + (((27 * (((((27 - (((((x51 + 25) + x227) * x447) % x545) + x443)) + x240) + 27) + x0) % (27 * (x282 + x443)))) * x603) + (x60 + ((((x227 + ((x227 + (27 * (x282 + x443))) + -39)) + 27) - ((13 / x608) - 13)) + (x447 + x608))))))
Duration;228943
Testset error;5831.73792292131
