Best individual;(((((((x108 * (x561 * (((4 * ((((-58 - x188) + (x546 * -53)) * (2 * x342)) - (15 * ((15 - x125) * x369)))) - (((x342 - (15 * (2 * x342))) + (x193 - ((x193 - x342) + x556))) * (x561 - (17 + x482)))) - -53))) * x342) - (15 * ((x108 * (((((((x342 - x197) - x193) * 15) - (-15 - (15 * (2 * x369)))) - x561) * x108) - 41)) * x342))) + x556) * (x561 - (17 + x482))) + ((15 - (-44 % (x457 - (((x561 * ((((7 * 15) + (x587 * -53)) * x561) - x342)) - x169) * ((-53 * (x457 - (((x108 * -53) - x284) * x108))) - (((((-15 - x163) + (x193 - -5)) * (x561 - (17 + x482))) + x435) + 41)))))) * 2)) + ((2 - 18) * -53))
Duration;240625
Testset error;2373.945815796597
