Best individual;((((((x493 + (((x110 * ((((((x288 + x288) + x110) + x493) + (((x412 * -8) / (x493 + x288)) % x483)) / (((x110 + (x83 + x604)) + ((30 - x493) * (x493 + 17))) + (((3 * x35) / (80 - x288)) + x604))) / -13)) % ((x463 * -70) - x288)) - (x110 * (x341 / (((x110 + (((x586 / x454) / (x493 + x463)) + x604)) + ((((x110 * -16) % 43) - x493) * (x493 + ((x110 * x48) % (-25 - x288))))) + ((((x589 + x341) * (-8 + x262)) / (80 - x288)) + x604)))))) + ((x110 * (x341 / (((((x288 / ((x288 + x289) + (x283 - 80))) + x604) + x481) + ((((x110 * (x248 / x493)) % 43) - x493) * (x493 + ((x110 * (x341 / -13)) % ((x463 * -70) - x288))))) + ((((x589 + x341) * (-8 + x262)) / (80 - x288)) + x604)))) % (80 - x288))) - x341) + ((x110 * (x341 / (((((x110 / ((((x493 - x153) * (x559 % -13)) + 43) + 80)) + x604) + x481) + ((((x110 * (x248 / x493)) % 43) - x493) * (x493 + ((x110 * (x341 / -13)) % ((x463 * -70) - x288))))) + x481))) % (80 - x288))) - x388) * 80)
Duration;222130
Testset error;2303.3931277285183
