Best individual;((((((((((((((x49 + (x49 + x379)) * ((x417 * x503) - (x406 + x331))) % (x503 + (x49 + x233))) + ((x233 + (x196 + x288)) + x233)) + x233) + ((((((x121 + x49) / (x86 % x604)) + ((x294 + x344) + (x554 + x477))) + ((x418 + (x307 + x494)) + x259)) + (((x233 % (x49 + x105)) * x503) - (x406 + ((x418 + x583) - x379)))) + x259)) + x49) / ((((x49 + (x503 + (x49 + x233))) + x259) + x492) % x604)) + (((((((((x488 + x154) + x233) + x233) + x49) / ((((x49 + x555) + x259) + x492) % x604)) + (((((x572 + x233) + x233) + ((x418 + x315) + x259)) + x49) + x259)) + ((x418 + (x307 + x494)) + x259)) + (((x233 % (x49 + (((x119 + -3) + x49) + x259))) * x503) - (x406 + ((x418 + x583) - x379)))) + ((x381 + x475) + (x503 + x600)))) + ((x381 + x475) + (x503 + x600))) + (((x233 % (x49 + ((((((x233 + x259) + x233) + x233) + ((x418 + (x307 + x494)) + x259)) + x49) + x259))) * x503) - (x406 + ((x418 + x583) - x379)))) + (x572 + x233)) + ((((((x233 + x259) + x233) + x233) + ((x418 + (x307 + x494)) + x259)) + x49) + x259)) + (x49 + x620))
Duration;226859
Testset error;2143.433318713546
