Best individual;(((((((((((x522 - ((((x441 + x412) - (-50 - x531)) - ((x61 - x24) - (x77 - x531))) + 53)) + x348) + (x460 * (53 + ((x441 + (x460 * (53 + x402))) + x460)))) * x348) % 53) * x173) + (((x441 - (((((((x379 + x348) + 53) + x522) - x531) + x424) - (((((x348 + x340) * x122) % (x348 + 53)) * ((x522 - (53 + 24)) + x348)) - x531)) - ((x61 - ((((x522 + x358) + 53) + 53) - x531)) - ((((x251 + (x441 + 70)) + 53) + x522) - x531)))) - (x441 + (x522 - (((x441 * x122) % (x348 + 53)) * x173)))) - ((((x251 + (x441 + (x522 - (((x441 * x122) % (x348 + 53)) * x173)))) + 53) + x522) - x531))) - ((((((x522 - (53 + (x460 + (x348 + ((x250 + x148) - x531))))) + x348) + (x460 * (53 + ((x441 + (x460 * (53 + (x460 + x424)))) + x460)))) * x348) % (x348 + 53)) * x173)) + ((x436 + ((x61 - (((x441 + (x522 - x460)) + x522) - x531)) - ((((x251 + (x441 + (x522 - (((x441 * x122) % (x348 + 53)) * x173)))) + 53) + x522) - x531))) - ((((((x522 - (53 + (x460 + (x348 + ((x250 + x148) - x531))))) + x348) + (x460 * (53 + ((x441 + (x460 * (53 + (x460 + x424)))) + x460)))) * x348) % (x348 + 53)) * x173))) + (((x436 + (x61 - ((((x251 + (x441 + (x522 - (((x546 * x460) % (x348 + 53)) * x173)))) + 53) + x522) - x531))) + x531) + ((x441 + (x460 * (53 + (x460 + x460)))) - x403))) + (((((((x522 - ((((-10 + x522) - (-50 - x531)) - ((x61 - x24) - (x77 - x531))) + x173)) + x348) + (x460 * (53 + ((x441 + (x460 * (53 + x402))) + x460)))) * x348) % 53) * x173) + (((x441 - (((((((x379 + x348) + 53) + x522) - x531) + x424) - (((((x348 + x340) * x122) % (x348 + 53)) * ((x522 - (53 + 24)) + x348)) - x531)) - ((x61 - ((((x522 + x358) + 53) + 53) - x531)) - ((((x251 + (x441 + 70)) + 53) + x522) - x531)))) - (x441 + (x522 - (((x441 * x122) % (x348 + 53)) * x173)))) - ((((x251 + (x441 + (x522 - (((x441 * x122) % (x348 + 53)) * x173)))) + 53) + x522) - x531))))
Duration;238510
Testset error;2274.8148162969806
