Best individual;(((((x29 * (((((x29 * (((((x491 - x613) - (x601 + x209)) + (x395 - -56)) + -56) - (x37 - (((23 - x601) - x176) + -19)))) + ((((x395 - -56) * x29) / (x446 % (x37 - x474))) + x43)) - ((x29 * (((((x29 * -18) + (x191 + x43)) - x442) + (x37 - ((x550 - 42) + -19))) - x603)) + -56)) + (x37 - (((((-56 / -13) + x43) - x601) - 42) + -19))) - x603)) + -56) + -56) + (-56 + (((x446 % ((x442 + (((((x176 * (42 - (x80 + -19))) - -56) * x29) - -29) / ((-88 + x170) / -13))) - ((((x49 + x43) - x601) - x176) + -19))) * 42) - -56))) + (x49 + (((x446 % (x37 - ((((x49 + x43) - x601) - x176) + -19))) * 42) - -56)))
Duration;225360
Testset error;2195.8419634247853
