Best individual;((((((((((((76 % (((-48 + x132) + -66) + (x481 + (9 + 60)))) * 78) + x275) % (x481 + (-66 + 60))) * (x132 + (x481 + (-66 + 60)))) + ((((x481 + (78 + 60)) + (((((x31 % x275) * 78) + x440) % x440) * 78)) + ((((((76 % x615) % x275) * 78) + x440) % x440) * 78)) + x481)) + x440) + ((((((76 % x275) * 78) + x275) % x440) * 78) + x481)) + ((((((76 % ((28 % x440) * 78)) % x275) * 78) + x440) % x440) * 78)) + (((((76 % (x132 + (x481 + (-16 % x279)))) * 78) + x275) % (x481 + (-66 + 60))) * (x132 + (x481 + (-66 + 60))))) + ((((76 % (x132 + ((x39 + x481) + (76 % x279)))) * 78) + x275) % (x481 + (-66 + 60)))) + -66)
Duration;228825
Testset error;2948.142421962806
