Best individual;(((((((-65 + ((((x323 - ((((x233 - -56) * x166) - (x157 - (-1 - x566))) - (-65 - ((x0 - x520) - (20 - x53))))) % ((x451 - (((x436 + x323) - (-65 - x396)) - x451)) % x451)) + x143) + x451)) * x323) - (-65 - ((((x436 - x566) * x166) - x566) - (((x396 + x251) * x323) - ((x131 * x323) - (x534 - x451)))))) + (((((-65 - ((-65 - ((((-3 - 13) * x166) - ((x8 * x323) - (x143 - x451))) - (((x396 + x251) * x323) - ((x131 * x323) - (x534 - x451))))) - x143)) - -56) - -65) / ((x566 % ((x451 - (x233 - x451)) % x451)) + (x166 + x233))) - ((((-65 - ((((-65 - (x157 - (-1 - x566))) * x166) - ((((x478 - x132) + x566) * x323) - ((-65 - (x103 - x566)) - x451))) - x566)) - -65) - -56) / ((x566 % ((x451 - (x233 - x451)) % x451)) + (x166 + x233))))) * x323) - (-65 - ((((x436 - x566) * x166) - x566) - (((x396 + x251) * x323) - ((x131 * x323) - (x534 - x451)))))) - (((-65 - x451) + x566) * x451))
Duration;230845
Testset error;6115.501697717083
