Best individual;(((((((x143 - ((-27 + (((-77 + ((x265 + (-48 + -27)) + ((x58 - 91) + (x228 + -46)))) * x38) + x20)) - ((((((91 - (x364 * x436)) + -27) * ((x559 * (91 * x430)) - x271)) % 91) + ((((91 - (x559 * 72)) / x232) + (x136 - (-27 + (x276 + x20)))) * x271)) / (((-77 % (x136 - ((x136 - x444) + x108))) + ((((91 - x211) / x232) + (x136 - (-27 + x204))) * x271)) / (-27 + (x276 + x20)))))) + (91 * x38)) - (x271 - ((((((91 - ((x136 + (x301 + x1)) * (91 * x38))) + x276) * ((x559 * (91 * (x393 - x271))) - x271)) % 91) + ((((91 - (x559 * (91 * (x393 - x271)))) / x232) + (x136 - (-27 + (x276 + x20)))) * x271)) / (((-77 % (x136 - ((x136 - (-27 + (x384 + x271))) + x108))) + ((((91 - (x559 * (91 * x38))) / x232) + (x136 - (-27 + (x276 + x20)))) * x271)) / (-27 + (x276 + x20)))))) + (91 * x38)) + ((((91 - x211) / x232) + (x136 - (-27 + x204))) * x271)) + (((x143 - (x287 - (x108 / (((-77 % (x136 - ((x136 - (-27 + (x384 + x271))) + x108))) + ((((91 - (x559 * (91 * x38))) / x232) + (x136 - (-27 + (x276 + x20)))) * x271)) / (-27 + (x276 + x20)))))) + (91 * x38)) + (x95 + x5))) * (3 + x598))
Duration;231990
Testset error;2063.1309408967286
