Best individual;((((((-46 + ((x474 / (4 % ((((x364 % x13) + (13 % x171)) + (x447 % x9)) - 3))) + x360)) + ((x279 * (((((x279 / (((x172 + x603) + x595) % x612)) - (x279 * (((9 % x9) + (25 + x513)) + (-46 + x264)))) / (x447 % x9)) % (x447 % (((((x603 / x291) - 3) / (x447 % x9)) - 3) + x612))) + (-46 + x264))) + (x279 / (x447 % x9)))) + (((((((((((x479 * x283) + (x62 + x544)) % (x172 + x505)) + (13 % (x612 + (x519 - -15)))) + (x447 % x9)) / (x479 + (x310 * ((x442 + x612) + (-46 + x264))))) * x183) + (((x20 + (45 + x612)) - x44) + (x245 * 13))) % (x279 / (x447 % x9))) + (x279 / (x447 % x9))) + (x279 / (x447 % x9)))) + (((3 + ((x612 % (45 + ((x474 / (4 % 3)) + x360))) + x264)) + x114) / x479)) + (((13 % ((((((x279 / ((3 + x595) % x612)) - 3) / (x447 % x9)) - 3) + x612) + x335)) + (((x279 / (x447 % x9)) - 3) + x612)) + (((x279 / (x447 % x9)) - 3) + x612))) + (x264 * (x264 + (x172 + (59 * ((((3 + ((x612 % (45 + ((x474 / (4 % 3)) + x360))) + x264)) + x114) / x479) + (13 % ((3 + (((x474 / ((x172 / (x172 + x505)) + x172)) * x183) + x612)) + x114))))))))
Duration;226325
Testset error;5839.55663511985
