Best individual;(((((((((((((((x179 + x545) * x490) * x26) - (37 * 37)) - x394) - (37 - x490)) * 37) / (((x197 + x20) + (37 * 37)) + x374)) - (x490 - ((((((x388 - (37 + x197)) - 37) - (37 - x490)) * x470) / (x125 - (x189 + x36))) + x374))) - x374) * x490) + -53) - x510) + (((((((((((((37 - 12) * x470) / (37 * 37)) + x36) * x470) / (((x197 + x20) + (37 * 37)) + x374)) + (x394 * (((x304 / ((x446 * x52) + x374)) + x125) * x490))) / (x304 / ((x394 * (((x189 + x36) + (x179 - 12)) * x548)) + x374))) - x394) - (37 - x490)) * x470) / (((x197 + x20) + (37 * 37)) + x374)) + x374)) + (37 * 37))
Duration;237595
Testset error;6114.590646488385
