Best individual;(((((x101 % (36 + (((((12 - ((-2 + ((x362 % x522) + (x241 + x213))) % 12)) % (x179 + (10 % (x253 % 14)))) % (((45 % (((x610 % x531) / 36) - -16)) + (x545 + (36 + ((-30 + x587) * x610)))) % 12)) - x179) - -20))) - ((-2 + (((36 * (((x179 + (10 % (x253 % (45 - 12)))) + ((45 + ((x101 - x331) - -16)) + -11)) + (x610 % -2))) - ((((42 % 14) - x101) + x587) / (x587 - x101))) + ((((x101 - ((-2 + ((-20 - 49) + (x101 + x236))) % 12)) - -16) - -16) * (((45 + ((x101 - ((x486 + -12) % 12)) - -16)) + -11) + (x610 % -2))))) % 12)) - -16) - -16) * (((45 + ((x101 - (((45 % (((x610 % x531) / 36) - -16)) + (x545 + (36 + (((x179 + (10 % (x253 % 14))) + x587) * x610)))) % 12)) - -16)) + -11) + (x610 % -2)))
Duration;238714
Testset error;2121.91750892504
