Best individual;(((((((((40 % (((((x482 - (x178 + x291)) % x96) + x178) - x494) * (((((x546 * 43) / (x3 + 5)) % x244) + (51 / (x482 - x337))) + 29))) + x178) - (((x178 / ((x482 - ((x480 + (x480 / x480)) + 43)) + (x494 - (((67 % x494) - (43 + x186)) - ((-45 - 29) * 43))))) % x494) + x494)) * 43) / (((x480 + ((((((x178 / (x91 + 29)) + (x494 - (x275 - x192))) * x494) + x480) + x337) / x494)) * x494) + (x494 - ((((43 * (x494 - ((x480 - (43 + 43)) - ((x598 - 29) * 43)))) % x494) - (43 + (51 - (x96 + ((x482 / (85 / x471)) + x178))))) - (((x96 + 51) - 29) * 43))))) % (((43 * (x494 - ((x480 - (43 + 43)) - ((x598 - 29) * 43)))) % x494) - (43 + (51 - (x96 + ((x482 / (85 / x471)) + x178)))))) + (51 / (x482 - x337))) + x178) * 43)
Duration;253412
Testset error;2100.9121989528658
