Best individual;((62 + (26 + (((((((((((x38 - (x128 + x128)) - ((x226 - x111) - (-54 + 25))) * x406) * x348) + x215) - 23) / (x410 - ((x226 - (x155 * (43 * ((-24 / 23) * x239)))) - ((x406 * x38) + 25)))) + ((26 / (x87 - ((x360 / 22) * x384))) * 26)) - (26 / (x87 - ((x360 / 22) * x384)))) - (((x239 / (22 + ((43 * (((x101 - 25) / x498) * x239)) * 26))) + x498) - (x348 + ((x410 - x429) * x215)))) - 25))) * 25)
Duration;234640
Testset error;2002.5529647501253
