Best individual;(x469 * ((((((((((((x469 * ((x469 * x42) * x84)) % (x247 - ((14 * x234) * 14))) * 19) * (((((42 - x585) - (x239 * 11)) - -35) % 14) - 11)) - x585) - 14) - ((((((((42 - x585) - (x239 * 11)) - -35) % 14) - 11) - -35) % 19) * 19)) % 14) - 11) - -35) % (14 * ((((19 * ((x500 * 19) * x49)) % x114) * 11) % 14))) * 19))
Duration;234017
Testset error;2079.211460292653
