Best individual;(((((x248 + (x471 * (24 + ((x568 * (((x471 * ((x214 - (x62 - 39)) + ((x38 + x449) % (18 + 24)))) % (x96 % (((x248 + x401) % (31 + 24)) + -7))) - 24)) + 24)))) % ((x568 * x471) + 24)) + (24 + (x248 % (x471 % (((24 + ((x568 * (x248 % (((x96 + x583) / 24) - x583))) + 24)) + (x471 * (24 + (x471 % ((x123 + (x248 % (x471 % 41))) % (x214 - x96)))))) % ((x568 * x471) + 24)))))) + ((24 + (x248 % (x248 % (x471 % ((x62 - (x214 - ((x248 % (x96 % (26 + -15))) - 24))) * x471))))) - x471)) * (24 + (x471 % ((x123 + x583) % (x214 - x96)))))
Duration;235098
Testset error;2079.5663184917125
