Best individual;((((((((((((((-52 - (x132 + -80)) - 15) * x169) - (((-4 - (x416 - -52)) - x446) / (x198 % x621))) - 4) + -52) + (x488 - 4)) / (x169 - -52)) - ((x139 % (x488 - (((-52 - (((x103 - x72) % x169) + x72)) - 15) * ((((4 / (4 - x229)) - 4) + 24) / (x169 - -52))))) + (64 / x71))) - ((x139 % (x488 - (((-52 - ((((-52 - 9) - x72) % x169) + x72)) - 15) * ((((4 / (4 - (x500 * x72))) - 4) + 24) / (x169 - -52))))) + (64 / x71))) - ((12 - ((((((((4 / (4 - -35)) - 4) + 24) / (x169 - -52)) - ((24 - x500) + (x488 - 4))) * (((-52 - x322) + 15) - 4)) * x72) / ((((x72 * ((-4 * (-52 - (x499 * -52))) + (64 / x71))) - 4) - -52) - (4 - ((((-4 - ((x169 - -52) - x72)) - x446) / (x198 % x621)) + (((24 - x500) + (x488 - 4)) - x500)))))) / x500)) / 4) - ((24 - x500) + (x488 - 4))) * (((-52 - x322) + 15) - 4))
Duration;237445
Testset error;2127.6216303757765
