Best individual;(((((x356 - (x354 * (15 + (((17 + ((x143 + (((x214 + x143) - 15) * x600)) + x224)) + (x356 + x354)) + (((((x354 * ((33 * x224) + x356)) + x600) - 15) * x600) + 42))))) + (x356 - (((x356 * (((((x354 * (x356 + (x356 + x354))) + x600) - (17 + (x143 + x354))) * 42) + (x354 * ((42 + x363) + (x209 * x223))))) + x209) + (x356 * (((((x354 * (x224 + x267)) + x600) - 15) * x600) + 42))))) + (((x354 + (x356 - (((x356 * (((((x354 * x124) + x600) - 15) * x600) + (x354 * ((42 + x363) + (x209 * x223))))) + 42) + ((x354 * (17 + (17 + x319))) + x600)))) + (42 * 13)) + ((x354 * (15 + (x356 * ((42 * x600) + 42)))) + 42))) + ((((x354 * (15 + (x356 * ((((x354 * (x223 + (x354 + x588))) + x600) - (17 + (x143 + x354))) * 42)))) + 42) - 42) + (x356 - (((x356 * (((((x354 * (x356 + (x356 + x354))) + x600) - (17 + (x143 + x354))) * 42) + (x354 * ((42 + x363) + (x209 * x223))))) + x209) + (x356 * (((((x354 * (x224 + x267)) + x600) - 15) * x600) + 42)))))) + ((33 * ((x354 * (33 - 17)) + 42)) + ((x354 * (15 + (x356 * ((42 * x600) + 42)))) + 42)))
Duration;237580
Testset error;2160.7025179521174
