Best individual;(((((x57 + (((((48 / (((x57 + ((15 + x57) + (x620 + 13))) - (x49 + (x296 + x273))) / (x296 + (((x53 + x334) + 57) - (x591 / x49))))) + (((57 + (((57 + x57) + x57) + (x299 + 48))) + x57) + 48)) + (((((57 + ((x591 + x132) + 48)) + (x57 + ((x140 - x566) + 48))) - ((((x534 + x611) - 57) + ((x296 + x451) + (x299 + 48))) + 48)) + ((x296 + (57 + (57 + (x459 + 57)))) + (((57 + (x57 + 48)) + x57) + 48))) + (((x534 + x611) - 57) + ((x296 + x451) + (x299 + 48))))) + (57 + (x57 + 48))) + ((x57 + (57 + (((57 + (x591 + ((x296 - x57) + x296))) + x57) + 48))) + (((57 + ((16 / x591) + 48)) + 48) + x273)))) - (x49 + (x296 + x273))) - (16 / (x296 + ((48 + (x296 - 48)) - (x591 / x49))))) + (57 + (48 + 48))) + ((x591 + x132) + 48))
Duration;237340
Testset error;2086.9636847868824
