Best individual;(((((-80 * ((-26 + (((((x309 + ((x309 + (x186 - x209)) - ((x149 - x140) * (x80 + x587)))) + ((-80 * (x227 + x479)) + (x587 * (x186 - x501)))) + ((x587 * (x587 - ((x479 - x587) - -3))) - x105)) + (((-34 - x422) * x587) - ((70 - x407) * (x80 + x587)))) / (x587 * -26))) + (((((((x540 * -7) + x422) + x479) / x422) - ((((x315 + x479) + (-6 + -11)) - x407) * ((-80 * (x227 + x479)) + (x587 * (x186 - x501))))) - (x518 - -3)) / (x587 * -26)))) + x422) - ((-80 * (x479 + (((((((-80 * (x479 + (-80 - -31))) + x422) + x479) / (x587 * -26)) - (((((-80 - (-6 * x538)) + x479) + (-6 + (30 + x201))) - x407) * ((-80 * (((x105 - x318) / (x587 * -26)) + x479)) + (x587 * ((x442 * (x469 + x310)) - (x309 - -3)))))) - (x518 - -3)) / (x587 * -26)))) + x422)) / x61) - ((-80 * (x479 + x469)) + x422))
Duration;234339
Testset error;1930.2703775447728
