Best individual;((24 * ((((((((((x169 % (x13 - (24 * (x609 - x140)))) - ((((-43 % -60) - -32) * x13) - (x303 + x170))) - x496) * ((x13 % ((((x616 - x169) - x496) + (x496 - x608)) - x146)) - -60)) % x468) - x303) * ((24 * (x13 - ((-32 + (x496 - (((x426 * x383) - -32) - x383))) - (x496 - (-32 - -37))))) - (((-32 + (x496 - (x13 - x383))) - (x496 - (-32 - -37))) - -37))) % ((x537 + -93) - -60)) + (((((((-32 - ((24 * ((x537 + -93) - -60)) - (x470 * x169))) % x468) % -60) - -32) * x13) - (x303 + x170)) % ((x468 - 68) * x383))) - -60)) - (((-32 + (x496 - (x13 - x383))) - (x496 - (-32 - -37))) - -37))
Duration;231540
Testset error;2240.680776155121
