Best individual;(((((((((84 + ((((84 + ((-54 + x82) / (x609 - x294))) + (((x211 - -41) + 42) + 42)) - ((((x186 - 84) + (x74 + -34)) + -54) + (84 - ((x552 - x294) + (x246 + x292))))) + ((x294 + (((x443 + x69) / (x211 - x505)) - (x294 + (x615 / -54)))) + x292))) - (-20 * (x431 - 84))) + (x294 + 42)) + ((x294 + ((x211 - x294) + x211)) + x292)) / (x211 - (x294 + x325))) - x294) + (((((x374 + ((x294 + 42) + x292)) / ((x211 + x294) / ((x615 / -54) - x294))) - x294) + ((-20 * ((x530 - x294) - 84)) + x294)) + (x82 + x294))) + -54) + -54)
Duration;241226
Testset error;7287.458683634959
