Best individual;((((((((x266 + ((53 + ((x40 % (x516 + ((x64 + 0) % (x625 + x266)))) * ((x266 + ((x266 % 47) + (31 + x179))) + (((44 * x516) + (x5 * 53)) + 53)))) + x516)) + x179) + ((x516 + ((x516 + (31 + ((x40 % (x266 + (-8 + x516))) * x266))) * 53)) + ((x516 + 27) * 53))) % 27) * (((x179 * -18) + x332) % (x625 + x266))) * 70) + (((31 + (((x192 * 53) % 20) * x266)) + x625) * 53)) + ((x486 * 53) + 27))
Duration;247878
Testset error;2072.5405275275853
