Best individual;(((((((-1 + (((64 + ((x604 + ((23 - (x131 + -44)) + 64)) * (((64 + (x178 / x601)) / x167) * x460))) / x167) * x146)) + ((((x489 + (((((x145 + x561) + (64 + x414)) + ((x602 + x414) * x460)) + x170) / x167)) / x167) + ((((64 + (x271 + x426)) + (x111 + (-22 + x228))) + x170) + ((((x146 / x167) * x460) + 64) + (x5 + ((23 - 33) + 64))))) + x111)) + ((((((((-1 + (x434 + (x198 / -1))) + x111) - 33) + 64) + (((((64 + (x178 / x601)) / x167) * x460) + (x620 + x460)) + (x5 + ((((x399 + x414) + x111) - 33) + 64)))) + (((64 + -1) + x414) * x460)) + x170) / x601)) / x167) * x460) + -28) + x111)
Duration;237067
Testset error;1798.8581372231276
