Best individual;(((-40 + ((((x549 * x333) - -35) + -17) % ((-21 + ((((-21 / (x259 * ((((-63 + x257) + (x397 + -63)) * ((x91 - -35) * -21)) * (((-63 + -40) - (x227 * x438)) * x96)))) + x588) + x588) * x438)) * (x446 % ((((x438 / (((((x575 * x333) + x438) * x531) + x397) * ((((-21 + -4) + (x397 + -63)) * ((x91 - -35) * -21)) * (((-63 + -40) - (x227 * x438)) * x96)))) + x446) * ((-40 + -21) * -21)) * (((-40 + (x446 % (((-63 + -40) - (x227 * x438)) * x96))) * -63) - (x446 % ((((-40 + -21) * -21) - (x227 * x438)) * -21)))))))) * ((-21 / x259) + (x397 + -63))) - ((-21 + ((x549 + x588) * x438)) * -21))
Duration;234661
Testset error;2101.102231950072
