Best individual;(((x302 + ((((36 * (((x291 + (((((x26 + 36) + x183) + ((x225 % x458) % x208)) + x263) + (x458 % x488))) + x208) + (-47 * (((((x302 + (49 - x181)) + (36 * (x302 + x180))) + x208) + (x302 * x29)) + x416)))) % (-47 * (((((x302 + (49 - x181)) + (36 * (x302 + x180))) + x208) + (x302 * x29)) + x416))) % (((x208 + ((84 + x263) + (x458 % x488))) + x183) - (-47 % x208))) * x291)) % (36 * (x302 + (-47 * (x461 + x416))))) + ((((36 * (x302 + (-47 * (x461 + x416)))) % x208) % (((x208 + ((84 + x263) + (x458 % x488))) + x183) - (-47 % x208))) + ((((x302 + (49 - (x291 + x494))) + (36 * (x302 + (-47 * -1)))) + x208) + (x302 * x29))))
Duration;241867
Testset error;2142.5080428583888
